sex,length_standardized,length_mm,diameter_standardized,diameter_mm,height_standardized,height_mm,whole_weight_standardized,whole_weight_g,no_rings,age_years
I,0.165,33,0.115,11.5,0.015,3,0.0145,2.9,4,5.5
M,0.285,57,0.21,21,0.075,15,0.1185,23.7,7,8.5
I,0.19,38,0.13,13,0.03,6,0.0295,5.9,6,7.5
I,0.215,43,0.15,15,0.03,6,0.0385,7.7,5,6.5
M,0.595,119,0.465,46.5,0.125,25,0.799,159.8,10,11.5
F,0.645,129,0.5,50,0.17,34,1.1845,236.9,13,14.5
M,0.575,115,0.45,45,0.185,37,0.925,185,12,13.5
F,0.57,114,0.45,45,0.17,34,1.098,219.6,20,21.5
F,0.58,116,0.45,45,0.235,47,1.071,214.2,14,15.5
F,0.595,119,0.48,48,0.2,40,0.975,195,15,16.5
F,0.595,119,0.47,47,0.25,50,1.283,256.6,14,15.5
F,0.625,125,0.42,42,0.165,33,1.0595,211.9,21,22.5
M,0.535,107,0.42,42,0.165,33,0.9195,183.9,16,17.5
M,0.55,110,0.43,43,0.16,32,0.9295,185.9,13,14.5
M,0.495,99,0.4,40,0.155,31,0.8085,161.7,6,7.5
I,0.32,64,0.235,23.5,0.08,16,0.1485,29.7,6,7.5
M,0.445,89,0.34,34,0.12,24,0.4475,89.5,9,10.5
F,0.52,104,0.4,40,0.125,25,0.6865,137.3,9,10.5
M,0.495,99,0.385,38.5,0.135,27,0.6335,126.7,14,15.5
M,0.47,94,0.37,37,0.135,27,0.547,109.4,12,13.5
F,0.49,98,0.37,37,0.14,28,0.585,117,10,11.5
M,0.58,116,0.47,47,0.165,33,0.927,185.4,11,12.5
M,0.645,129,0.495,49.5,0.185,37,1.4935,298.7,15,16.5
F,0.575,115,0.485,48.5,0.165,33,1.0405,208.1,14,15.5
I,0.215,43,0.17,17,0.055,11,0.0605,12.1,6,7.5
I,0.43,86,0.325,32.5,0.11,22,0.3675,73.5,13,14.5
I,0.26,52,0.215,21.5,0.08,16,0.099,19.8,5,6.5
I,0.37,74,0.28,28,0.09,18,0.233,46.6,11,12.5
I,0.405,81,0.305,30.5,0.105,21,0.3625,72.5,10,11.5
I,0.27,54,0.19,19,0.08,16,0.081,16.2,6,7.5
F,0.68,136,0.55,55,0.2,40,1.596,319.2,21,22.5
F,0.65,130,0.515,51.5,0.195,39,1.4005,280.1,13,14.5
F,0.645,129,0.49,49,0.215,43,1.406,281.2,25,26.5
M,0.57,114,0.405,40.5,0.16,32,0.9245,184.9,19,20.5
M,0.615,123,0.48,48,0.19,38,1.36,272,18,19.5
M,0.42,84,0.345,34.5,0.105,21,0.43,86,7,8.5
I,0.275,55,0.22,22,0.08,16,0.1365,27.3,6,7.5
F,0.29,58,0.225,22.5,0.075,15,0.14,28,5,6.5
M,0.42,84,0.34,34,0.115,23,0.4215,84.3,8,9.5
F,0.625,125,0.525,52.5,0.215,43,1.5765,315.3,16,17.5
F,0.55,110,0.465,46.5,0.18,36,1.2125,242.5,27,28.5
M,0.66,132,0.505,50.5,0.2,40,1.6305,326.1,18,19.5
M,0.565,113,0.47,47,0.195,39,1.142,228.4,17,18.5
F,0.595,119,0.495,49.5,0.235,47,1.366,273.2,13,14.5
M,0.63,126,0.51,51,0.23,46,1.539,307.8,17,18.5
F,0.43,86,0.325,32.5,0.12,24,0.445,89,8,9.5
F,0.455,91,0.35,35,0.14,28,0.5725,114.5,10,11.5
I,0.33,66,0.26,26,0.08,16,0.19,38,7,8.5
F,0.515,103,0.415,41.5,0.13,26,0.764,152.8,13,14.5
M,0.495,99,0.39,39,0.15,30,0.853,170.6,14,15.5
F,0.485,97,0.375,37.5,0.145,29,0.5885,117.7,13,14.5
F,0.535,107,0.46,46,0.145,29,0.7875,157.5,8,9.5
M,0.58,116,0.465,46.5,0.175,35,1.035,207,17,18.5
F,0.625,125,0.525,52.5,0.195,39,1.352,270.4,13,14.5
F,0.555,111,0.455,45.5,0.18,36,0.958,191.6,14,15.5
F,0.55,110,0.425,42.5,0.145,29,0.797,159.4,9,10.5
M,0.59,118,0.475,47.5,0.155,31,0.857,171.4,13,14.5
I,0.355,71,0.28,28,0.11,22,0.2235,44.7,7,8.5
I,0.275,55,0.2,20,0.075,15,0.086,17.2,7,8.5
F,0.505,101,0.39,39,0.175,35,0.692,138.4,12,13.5
M,0.37,74,0.28,28,0.095,19,0.2225,44.5,7,8.5
M,0.555,111,0.43,43,0.165,33,0.7575,151.5,13,14.5
F,0.505,101,0.4,40,0.165,33,0.729,145.8,9,10.5
F,0.56,112,0.445,44.5,0.18,36,0.903,180.6,9,10.5
M,0.595,119,0.475,47.5,0.17,34,1.0965,219.3,17,18.5
F,0.57,114,0.45,45,0.165,33,0.903,180.6,14,15.5
M,0.6,120,0.48,48,0.175,35,1.229,245.8,13,14.5
F,0.56,112,0.435,43.5,0.185,37,1.106,221.2,15,16.5
M,0.585,117,0.465,46.5,0.19,38,1.171,234.2,17,18.5
I,0.46,92,0.335,33.5,0.11,22,0.444,88.8,8,9.5
F,0.46,92,0.36,36,0.115,23,0.4755,95.1,8,9.5
M,0.415,83,0.315,31.5,0.125,25,0.388,77.6,12,13.5
F,0.435,87,0.32,32,0.12,24,0.3785,75.7,11,12.5
F,0.475,95,0.38,38,0.135,27,0.486,97.2,7,8.5
M,0.465,93,0.36,36,0.13,26,0.5265,105.3,10,11.5
I,0.355,71,0.28,28,0.1,20,0.2275,45.5,11,12.5
M,0.46,92,0.375,37.5,0.14,28,0.5105,102.1,9,10.5
F,0.38,76,0.325,32.5,0.11,22,0.3105,62.1,10,11.5
F,0.47,94,0.365,36.5,0.12,24,0.543,108.6,9,10.5
M,0.36,72,0.27,27,0.09,18,0.2225,44.5,6,7.5
F,0.585,117,0.455,45.5,0.165,33,0.998,199.6,12,13.5
M,0.655,131,0.59,59,0.2,40,1.5455,309.1,11,12.5
M,0.6,120,0.485,48.5,0.175,35,1.2675,253.5,13,14.5
F,0.57,114,0.46,46,0.17,34,1.1,220,14,15.5
F,0.645,129,0.5,50,0.2,40,1.4285,285.7,11,12.5
M,0.65,130,0.495,49.5,0.18,36,1.793,358.6,14,15.5
M,0.51,102,0.395,39.5,0.145,29,0.6185,123.7,12,13.5
M,0.52,104,0.38,38,0.135,27,0.5825,116.5,8,9.5
M,0.495,99,0.415,41.5,0.165,33,0.7485,149.7,13,14.5
M,0.43,86,0.335,33.5,0.115,23,0.406,81.2,8,9.5
F,0.59,118,0.465,46.5,0.16,32,1.1005,220.1,13,14.5
M,0.55,110,0.46,46,0.175,35,0.869,173.8,10,11.5
M,0.585,117,0.43,43,0.16,32,0.955,191,11,12.5
F,0.58,116,0.455,45.5,0.16,32,0.9215,184.3,17,18.5
F,0.62,124,0.51,51,0.15,30,1.456,291.2,13,14.5
I,0.59,118,0.45,45,0.16,32,0.893,178.6,14,15.5
F,0.72,144,0.575,57.5,0.215,43,2.226,445.2,13,14.5
F,0.635,127,0.51,51,0.175,35,1.2125,242.5,14,15.5
F,0.61,122,0.48,48,0.175,35,1.0675,213.5,15,16.5
F,0.545,109,0.445,44.5,0.175,35,0.8525,170.5,13,14.5
M,0.57,114,0.45,45,0.16,32,0.8615,172.3,12,13.5
F,0.6,120,0.475,47.5,0.18,36,1.162,232.4,18,19.5
F,0.52,104,0.41,41,0.17,34,0.8705,174.1,14,15.5
M,0.635,127,0.51,51,0.21,42,1.598,319.6,15,16.5
F,0.67,134,0.52,52,0.15,30,1.406,281.2,13,14.5
M,0.695,139,0.57,57,0.2,40,2.033,406.6,15,16.5
M,0.655,131,0.525,52.5,0.185,37,1.259,251.8,20,21.5
F,0.62,124,0.48,48,0.23,46,1.0935,218.7,14,15.5
F,0.6,120,0.475,47.5,0.18,36,1.1805,236.1,19,20.5
M,0.51,102,0.405,40.5,0.13,26,0.7175,143.5,9,10.5
M,0.525,105,0.405,40.5,0.135,27,0.7575,151.5,10,11.5
M,0.44,88,0.375,37.5,0.13,26,0.487,97.4,9,10.5
I,0.485,97,0.415,41.5,0.14,28,0.5705,114.1,8,9.5
F,0.495,99,0.385,38.5,0.13,26,0.6905,138.1,10,11.5
I,0.435,87,0.345,34.5,0.12,24,0.4475,89.5,7,8.5
I,0.405,81,0.315,31.5,0.105,21,0.347,69.4,9,10.5
I,0.42,84,0.33,33,0.1,20,0.352,70.4,9,10.5
F,0.5,100,0.395,39.5,0.15,30,0.7145,142.9,9,10.5
F,0.385,77,0.305,30.5,0.105,21,0.3315,66.3,7,8.5
I,0.33,66,0.265,26.5,0.09,18,0.18,36,6,7.5
F,0.58,116,0.475,47.5,0.155,31,0.974,194.8,10,11.5
I,0.325,65,0.27,27,0.1,20,0.185,37,6,7.5
M,0.475,95,0.375,37.5,0.12,24,0.563,112.6,10,11.5
F,0.38,76,0.3,30,0.09,18,0.3215,64.3,9,10.5
I,0.34,68,0.26,26,0.09,18,0.179,35.8,6,7.5
M,0.525,105,0.425,42.5,0.12,24,0.702,140.4,12,13.5
F,0.52,104,0.415,41.5,0.145,29,0.8045,160.9,10,11.5
F,0.535,107,0.45,45,0.135,27,0.8075,161.5,13,14.5
M,0.475,95,0.36,36,0.12,24,0.578,115.6,8,9.5
I,0.415,83,0.325,32.5,0.1,20,0.385,77,7,8.5
I,0.495,99,0.385,38.5,0.125,25,0.585,117,8,9.5
F,0.48,96,0.405,40.5,0.13,26,0.6375,127.5,10,11.5
F,0.52,104,0.425,42.5,0.15,30,0.813,162.6,10,11.5
M,0.46,92,0.375,37.5,0.13,26,0.5735,114.7,9,10.5
F,0.58,116,0.455,45.5,0.12,24,0.94,188,11,12.5
M,0.59,118,0.49,49,0.135,27,1.008,201.6,11,12.5
F,0.55,110,0.415,41.5,0.135,27,0.775,155,23,24.5
F,0.65,130,0.5,50,0.165,33,1.1445,228.9,12,13.5
F,0.465,93,0.375,37.5,0.135,27,0.6,120,16,17.5
M,0.455,91,0.355,35.5,0.13,26,0.515,103,11,12.5
M,0.47,94,0.375,37.5,0.13,26,0.5795,115.9,13,14.5
F,0.435,87,0.35,35,0.11,22,0.384,76.8,13,14.5
M,0.35,70,0.265,26.5,0.11,22,0.2965,59.3,7,8.5
I,0.315,63,0.24,24,0.07,14,0.137,27.4,8,9.5
M,0.595,119,0.47,47,0.145,29,0.991,198.2,16,17.5
F,0.58,116,0.475,47.5,0.135,27,0.925,185,14,15.5
M,0.575,115,0.435,43.5,0.15,30,0.805,161,17,18.5
M,0.535,107,0.435,43.5,0.155,31,0.8915,178.3,13,14.5
M,0.515,103,0.42,42,0.14,28,0.769,153.8,13,14.5
F,0.505,101,0.385,38.5,0.135,27,0.6185,123.7,12,13.5
F,0.505,101,0.395,39.5,0.145,29,0.6515,130.3,15,16.5
I,0.4,80,0.31,31,0.1,20,0.2875,57.5,10,11.5
M,0.49,98,0.395,39.5,0.135,27,0.5545,110.9,14,15.5
M,0.53,106,0.435,43.5,0.135,27,0.7365,147.3,12,13.5
I,0.395,79,0.325,32.5,0.105,21,0.306,61.2,8,9.5
F,0.665,133,0.535,53.5,0.19,38,1.496,299.2,17,18.5
F,0.415,83,0.305,30.5,0.105,21,0.3605,72.1,10,11.5
M,0.43,86,0.345,34.5,0.115,23,0.3045,60.9,11,12.5
M,0.475,95,0.395,39.5,0.135,27,0.592,118.4,13,14.5
F,0.525,105,0.425,42.5,0.145,29,0.7995,159.9,15,16.5
I,0.48,96,0.39,39,0.145,29,0.5825,116.5,15,16.5
I,0.42,84,0.345,34.5,0.115,23,0.3435,68.7,9,10.5
M,0.59,118,0.46,46,0.155,31,0.906,181.2,15,16.5
F,0.515,103,0.42,42,0.135,27,0.6295,125.9,9,10.5
M,0.695,139,0.55,55,0.22,44,1.5515,310.3,13,14.5
F,0.8,160,0.63,63,0.195,39,2.526,505.2,23,24.5
M,0.61,122,0.49,49,0.15,30,1.103,220.6,23,24.5
F,0.565,113,0.48,48,0.175,35,0.957,191.4,18,19.5
M,0.56,112,0.455,45.5,0.165,33,0.86,172,11,12.5
M,0.655,131,0.485,48.5,0.195,39,1.62,324,17,18.5
M,0.64,128,0.52,52,0.2,40,1.407,281.4,17,18.5
F,0.59,118,0.47,47,0.17,34,0.9,180,11,12.5
I,0.31,62,0.24,24,0.09,18,0.1455,29.1,7,8.5
I,0.255,51,0.185,18.5,0.07,14,0.075,15,6,7.5
I,0.17,34,0.125,12.5,0.055,11,0.0235,4.7,6,7.5
M,0.67,134,0.55,55,0.17,34,1.247,249.4,21,22.5
F,0.71,142,0.565,56.5,0.195,39,1.7265,345.3,17,18.5
F,0.56,112,0.43,43,0.125,25,0.8025,160.5,13,14.5
M,0.505,101,0.4,40,0.13,26,0.764,152.8,11,12.5
M,0.525,105,0.43,43,0.165,33,0.8645,172.9,16,17.5
F,0.45,90,0.36,36,0.105,21,0.4715,94.3,9,10.5
F,0.515,103,0.435,43.5,0.17,34,0.631,126.2,12,13.5
M,0.59,118,0.475,47.5,0.16,32,0.9455,189.1,19,20.5
M,0.7,140,0.53,53,0.19,38,1.3185,263.7,18,19.5
F,0.72,144,0.56,56,0.175,35,1.7265,345.3,17,18.5
M,0.635,127,0.495,49.5,0.15,30,1.081,216.2,11,12.5
M,0.555,111,0.44,44,0.135,27,0.9025,180.5,13,14.5
M,0.575,115,0.47,47,0.15,30,1.1415,228.3,13,14.5
M,0.585,117,0.455,45.5,0.125,25,1.027,205.4,17,18.5
F,0.61,122,0.485,48.5,0.21,42,1.3445,268.9,20,21.5
F,0.645,129,0.525,52.5,0.2,40,1.449,289.8,13,14.5
F,0.545,109,0.44,44,0.175,35,0.7745,154.9,11,12.5
M,0.55,110,0.45,45,0.155,31,0.7895,157.9,12,13.5
F,0.66,132,0.525,52.5,0.205,41,1.3665,273.3,18,19.5
M,0.57,114,0.475,47.5,0.195,39,1.0295,205.9,18,19.5
F,0.6,120,0.47,47,0.2,40,1.031,206.2,15,16.5
F,0.63,126,0.505,50.5,0.165,33,1.065,213,12,13.5
M,0.695,139,0.57,57,0.23,46,1.885,377,19,20.5
M,0.65,130,0.545,54.5,0.16,32,1.2425,248.5,15,16.5
F,0.72,144,0.595,59.5,0.225,45,1.969,393.8,16,17.5
I,0.56,112,0.44,44,0.17,34,0.9445,188.9,12,13.5
I,0.42,84,0.325,32.5,0.115,23,0.354,70.8,8,9.5
M,0.18,36,0.125,12.5,0.05,10,0.023,4.6,3,4.5
F,0.405,81,0.325,32.5,0.11,22,0.3575,71.5,12,13.5
F,0.5,100,0.405,40.5,0.15,30,0.5965,119.3,12,13.5
I,0.435,87,0.335,33.5,0.11,22,0.383,76.6,12,13.5
M,0.34,68,0.275,27.5,0.09,18,0.2065,41.3,10,11.5
F,0.43,86,0.34,34,0.11,22,0.382,76.4,8,9.5
I,0.535,107,0.41,41,0.155,31,0.6315,126.3,12,13.5
I,0.415,83,0.325,32.5,0.115,23,0.3285,65.7,12,13.5
F,0.36,72,0.265,26.5,0.09,18,0.2165,43.3,10,11.5
M,0.175,35,0.135,13.5,0.04,8,0.0305,6.1,5,6.5
M,0.155,31,0.115,11.5,0.025,5,0.024,4.8,5,6.5
I,0.525,105,0.43,43,0.15,30,0.7365,147.3,11,12.5
F,0.525,105,0.39,39,0.135,27,0.6005,120.1,16,17.5
F,0.44,88,0.345,34.5,0.105,21,0.4285,85.7,11,12.5
F,0.45,90,0.345,34.5,0.115,23,0.496,99.2,12,13.5
F,0.485,97,0.365,36.5,0.14,28,0.6195,123.9,14,15.5
I,0.47,94,0.35,35,0.135,27,0.567,113.4,11,12.5
I,0.515,103,0.375,37.5,0.14,28,0.6505,130.1,10,11.5
M,0.42,84,0.34,34,0.125,25,0.4495,89.9,11,12.5
F,0.455,91,0.35,35,0.125,25,0.4485,89.7,16,17.5
M,0.37,74,0.29,29,0.09,18,0.241,48.2,10,11.5
M,0.33,66,0.25,25,0.09,18,0.197,39.4,10,11.5
I,0.3,60,0.22,22,0.09,18,0.1425,28.5,7,8.5
I,0.625,125,0.46,46,0.16,32,1.2395,247.9,14,15.5
I,0.61,122,0.475,47.5,0.17,34,1.0385,207.7,14,15.5
I,0.625,125,0.465,46.5,0.155,31,0.972,194.4,14,15.5
I,0.635,127,0.505,50.5,0.19,38,1.3315,266.3,17,18.5
I,0.5,100,0.385,38.5,0.155,31,0.762,152.4,14,15.5
F,0.53,106,0.43,43,0.17,34,0.775,155,17,18.5
I,0.445,89,0.33,33,0.1,20,0.437,87.4,13,14.5
F,0.585,117,0.415,41.5,0.155,31,0.6985,139.7,12,13.5
I,0.44,88,0.355,35.5,0.165,33,0.435,87,16,17.5
M,0.29,58,0.225,22.5,0.08,16,0.1295,25.9,10,11.5
I,0.555,111,0.455,45.5,0.17,34,0.8435,168.7,15,16.5
I,0.655,131,0.515,51.5,0.145,29,1.25,250,15,16.5
F,0.58,116,0.46,46,0.185,37,1.017,203.4,10,11.5
I,0.625,125,0.43,43,0.175,35,1.411,282.2,12,13.5
I,0.62,124,0.485,48.5,0.17,34,1.208,241.6,15,16.5
F,0.64,128,0.5,50,0.15,30,1.0705,214.1,8,9.5
F,0.505,101,0.375,37.5,0.115,23,0.5895,117.9,10,11.5
I,0.5,100,0.395,39.5,0.12,24,0.537,107.4,9,10.5
M,0.31,62,0.245,24.5,0.095,19,0.15,30,7,8.5
F,0.505,101,0.38,38,0.145,29,0.651,130.2,12,13.5
I,0.42,84,0.305,30.5,0.11,22,0.28,56,9,10.5
M,0.4,80,0.315,31.5,0.105,21,0.287,57.4,10,11.5
M,0.425,85,0.315,31.5,0.125,25,0.3525,70.5,18,19.5
M,0.31,62,0.235,23.5,0.06,12,0.12,24,11,12.5
F,0.465,93,0.35,35,0.13,26,0.494,98.8,18,19.5
F,0.465,93,0.36,36,0.12,24,0.4765,95.3,10,11.5
M,0.35,70,0.255,25.5,0.085,17,0.2145,42.9,13,14.5
I,0.52,104,0.415,41.5,0.16,32,0.595,119,15,16.5
F,0.475,95,0.365,36.5,0.13,26,0.4805,96.1,12,13.5
F,0.41,82,0.315,31.5,0.11,22,0.321,64.2,10,11.5
M,0.26,52,0.2,20,0.065,13,0.096,19.2,6,7.5
I,0.575,115,0.45,45,0.17,34,0.9315,186.3,13,14.5
I,0.565,113,0.435,43.5,0.155,31,0.782,156.4,14,15.5
M,0.26,52,0.19,19,0.075,15,0.0945,18.9,6,7.5
F,0.53,106,0.385,38.5,0.125,25,0.6695,133.9,10,11.5
M,0.34,68,0.255,25.5,0.095,19,0.213,42.6,9,10.5
I,0.52,104,0.38,38,0.14,28,0.525,105,11,12.5
F,0.635,127,0.5,50,0.18,36,1.312,262.4,18,19.5
F,0.61,122,0.485,48.5,0.165,33,1.087,217.4,11,12.5
F,0.66,132,0.515,51.5,0.18,36,1.523,304.6,16,17.5
I,0.635,127,0.5,50,0.18,36,1.319,263.8,16,17.5
F,0.465,93,0.38,38,0.135,27,0.579,115.8,14,15.5
M,0.515,103,0.4,40,0.16,32,0.8175,163.5,23,24.5
I,0.335,67,0.24,24,0.095,19,0.17,34,9,10.5
F,0.515,103,0.4,40,0.17,34,0.796,159.2,16,17.5
F,0.345,69,0.255,25.5,0.1,20,0.197,39.4,9,10.5
M,0.465,93,0.355,35.5,0.125,25,0.5255,105.1,13,14.5
M,0.54,108,0.415,41.5,0.17,34,0.879,175.8,10,11.5
M,0.475,95,0.355,35.5,0.125,25,0.4625,92.5,9,10.5
F,0.445,89,0.335,33.5,0.14,28,0.4565,91.3,11,12.5
M,0.5,100,0.355,35.5,0.14,28,0.528,105.6,9,10.5
M,0.5,100,0.38,38,0.135,27,0.5835,116.7,12,13.5
F,0.55,110,0.435,43.5,0.17,34,0.884,176.8,14,15.5
I,0.275,55,0.205,20.5,0.08,16,0.096,19.2,6,7.5
F,0.35,70,0.265,26.5,0.09,18,0.1855,37.1,7,8.5
F,0.37,74,0.285,28.5,0.105,21,0.27,54,9,10.5
F,0.42,84,0.33,33,0.125,25,0.463,92.6,10,11.5
M,0.35,70,0.26,26,0.09,18,0.198,39.6,10,11.5
M,0.395,79,0.305,30.5,0.105,21,0.282,56.4,9,10.5
I,0.325,65,0.2,20,0.08,16,0.0995,19.9,8,9.5
I,0.275,55,0.2,20,0.065,13,0.092,18.4,5,6.5
I,0.235,47,0.17,17,0.065,13,0.0625,12.5,6,7.5
I,0.25,50,0.18,18,0.06,12,0.073,14.6,5,6.5
I,0.25,50,0.185,18.5,0.065,13,0.071,14.2,5,6.5
I,0.2,40,0.145,14.5,0.05,10,0.036,7.2,4,5.5
F,0.585,117,0.47,47,0.17,34,1.099,219.8,20,21.5
M,0.445,89,0.35,35,0.14,28,0.5905,118.1,14,15.5
F,0.5,100,0.385,38.5,0.13,26,0.768,153.6,13,14.5
M,0.44,88,0.325,32.5,0.08,16,0.413,82.6,8,9.5
M,0.515,103,0.405,40.5,0.14,28,0.8505,170.1,17,18.5
F,0.52,104,0.405,40.5,0.14,28,0.6915,138.3,11,12.5
M,0.5,100,0.39,39,0.13,26,0.709,141.8,11,12.5
M,0.425,85,0.325,32.5,0.12,24,0.3755,75.1,9,10.5
M,0.51,102,0.415,41.5,0.14,28,0.8185,163.7,16,17.5
F,0.37,74,0.275,27.5,0.08,16,0.227,45.4,8,9.5
M,0.54,108,0.415,41.5,0.13,26,0.8245,164.9,13,14.5
M,0.615,123,0.475,47.5,0.17,34,1.1825,236.5,11,12.5
M,0.565,113,0.44,44,0.175,35,1.122,224.4,20,21.5
M,0.645,129,0.515,51.5,0.175,35,1.6115,322.3,14,15.5
F,0.615,123,0.47,47,0.175,35,1.2985,259.7,14,15.5
M,0.605,121,0.49,49,0.145,29,1.3,260,14,15.5
F,0.59,118,0.455,45.5,0.165,33,1.161,232.2,12,13.5
M,0.645,129,0.485,48.5,0.155,31,1.489,297.8,18,19.5
M,0.57,114,0.42,42,0.155,31,1.008,201.6,13,14.5
F,0.47,94,0.355,35.5,0.18,36,0.441,88.2,8,9.5
F,0.5,100,0.44,44,0.155,31,0.742,148.4,14,15.5
F,0.52,104,0.425,42.5,0.145,29,0.7,140,13,14.5
M,0.39,78,0.285,28.5,0.095,19,0.271,54.2,8,9.5
M,0.52,104,0.4,40,0.165,33,0.8565,171.3,12,13.5
F,0.54,108,0.415,41.5,0.175,35,0.8975,179.5,14,15.5
M,0.46,92,0.36,36,0.135,27,0.6105,122.1,14,15.5
I,0.355,71,0.26,26,0.09,18,0.1925,38.5,8,9.5
F,0.49,98,0.4,40,0.145,29,0.6635,132.7,13,14.5
F,0.63,126,0.51,51,0.185,37,1.235,247,11,12.5
M,0.5,100,0.385,38.5,0.145,29,0.7615,152.3,14,15.5
M,0.49,98,0.39,39,0.135,27,0.592,118.4,15,16.5
M,0.44,88,0.325,32.5,0.115,23,0.39,78,7,8.5
F,0.515,103,0.395,39.5,0.165,33,0.7565,151.3,10,11.5
F,0.475,95,0.38,38,0.145,29,0.57,114,11,12.5
I,0.42,84,0.31,31,0.1,20,0.2865,57.3,8,9.5
M,0.4,80,0.305,30.5,0.13,26,0.2935,58.7,9,10.5
M,0.45,90,0.36,36,0.16,32,0.567,113.4,12,13.5
F,0.52,104,0.4,40,0.13,26,0.6245,124.9,15,16.5
M,0.505,101,0.4,40,0.155,31,0.8415,168.3,12,13.5
M,0.495,99,0.4,40,0.14,28,0.7775,155.5,15,16.5
M,0.54,108,0.41,41,0.145,29,0.989,197.8,19,20.5
F,0.48,96,0.39,39,0.125,25,0.6905,138.1,12,13.5
F,0.33,66,0.26,26,0.08,16,0.2,40,9,10.5
I,0.285,57,0.21,21,0.07,14,0.109,21.8,5,6.5
I,0.3,60,0.23,23,0.075,15,0.127,25.4,6,7.5
I,0.31,62,0.24,24,0.105,21,0.2885,57.7,6,7.5
I,0.34,68,0.255,25.5,0.075,15,0.18,36,6,7.5
I,0.375,75,0.3,30,0.075,15,0.144,28.8,7,8.5
I,0.415,83,0.325,32.5,0.1,20,0.4665,93.3,7,8.5
I,0.415,83,0.315,31.5,0.105,21,0.33,66,6,7.5
I,0.415,83,0.315,31.5,0.09,18,0.3625,72.5,6,7.5
I,0.42,84,0.32,32,0.1,20,0.34,68,8,9.5
I,0.425,85,0.31,31,0.105,21,0.365,73,6,7.5
M,0.465,93,0.375,37.5,0.11,22,0.5,100,8,9.5
F,0.465,93,0.35,35,0.135,27,0.6265,125.3,8,9.5
I,0.47,94,0.37,37,0.11,22,0.5555,111.1,8,9.5
F,0.47,94,0.375,37.5,0.12,24,0.6015,120.3,8,9.5
I,0.475,95,0.365,36.5,0.12,24,0.53,106,10,11.5
M,0.48,96,0.37,37,0.135,27,0.6315,126.3,7,8.5
M,0.5,100,0.4,40,0.13,26,0.7715,154.3,8,9.5
I,0.505,101,0.39,39,0.185,37,0.6125,122.5,7,8.5
M,0.525,105,0.425,42.5,0.19,38,0.872,174.4,9,10.5
M,0.54,108,0.42,42,0.12,24,0.8115,162.3,9,10.5
M,0.545,109,0.45,45,0.15,30,0.8795,175.9,11,12.5
F,0.565,113,0.44,44,0.15,30,0.983,196.6,9,10.5
M,0.58,116,0.46,46,0.18,36,1.145,229,11,12.5
M,0.59,118,0.455,45.5,0.16,32,1.09,218,9,10.5
M,0.59,118,0.48,48,0.16,32,1.262,252.4,9,10.5
M,0.595,119,0.49,49,0.185,37,1.185,237,10,11.5
F,0.6,120,0.475,47.5,0.135,27,1.4405,288.1,9,10.5
F,0.6,120,0.5,50,0.155,31,1.332,266.4,8,9.5
F,0.6,120,0.485,48.5,0.165,33,1.1405,228.1,9,10.5
M,0.605,121,0.475,47.5,0.175,35,1.201,240.2,10,11.5
F,0.625,125,0.49,49,0.155,31,1.33,266,10,11.5
M,0.63,126,0.5,50,0.185,37,1.362,272.4,10,11.5
M,0.64,128,0.585,58.5,0.195,39,1.647,329.4,12,13.5
F,0.64,128,0.5,50,0.18,36,1.4995,299.9,11,12.5
F,0.655,131,0.545,54.5,0.165,33,1.6225,324.5,12,13.5
I,0.66,132,0.525,52.5,0.215,43,1.786,357.2,11,12.5
M,0.66,132,0.535,53.5,0.2,40,1.791,358.2,15,16.5
F,0.675,135,0.555,55.5,0.205,41,1.925,385,13,14.5
F,0.675,135,0.55,55,0.175,35,1.689,337.8,13,14.5
F,0.69,138,0.55,55,0.18,36,1.659,331.8,9,10.5
F,0.695,139,0.53,53,0.2,40,2.0475,409.5,14,15.5
F,0.7,140,0.525,52.5,0.19,38,1.6015,320.3,10,11.5
F,0.73,146,0.57,57,0.165,33,2.0165,403.3,10,11.5
I,0.205,41,0.15,15,0.065,13,0.04,8,4,5.5
I,0.225,45,0.17,17,0.07,14,0.0565,11.3,4,5.5
I,0.23,46,0.18,18,0.05,10,0.064,12.8,5,6.5
I,0.275,55,0.195,19.5,0.07,14,0.0875,17.5,4,5.5
I,0.28,56,0.21,21,0.055,11,0.106,21.2,5,6.5
I,0.28,56,0.22,22,0.08,16,0.1315,26.3,5,6.5
I,0.295,59,0.22,22,0.07,14,0.126,25.2,6,7.5
I,0.31,62,0.225,22.5,0.075,15,0.155,31,6,7.5
I,0.315,63,0.235,23.5,0.07,14,0.149,29.8,7,8.5
I,0.34,68,0.265,26.5,0.07,14,0.185,37,7,8.5
I,0.37,74,0.29,29,0.08,16,0.2545,50.9,6,7.5
I,0.38,76,0.285,28.5,0.085,17,0.237,47.4,6,7.5
I,0.39,78,0.295,29.5,0.1,20,0.279,55.8,7,8.5
I,0.405,81,0.31,31,0.065,13,0.3205,64.1,6,7.5
I,0.415,83,0.325,32.5,0.1,20,0.3335,66.7,7,8.5
I,0.44,88,0.335,33.5,0.11,22,0.3885,77.7,7,8.5
I,0.44,88,0.345,34.5,0.115,23,0.545,109,6,7.5
I,0.44,88,0.325,32.5,0.1,20,0.4165,83.3,6,7.5
I,0.44,88,0.355,35.5,0.12,24,0.495,99,7,8.5
